Motor_Raw,MT6_Raw,Motor_Accum,MT6_Accum,Output_Accum,Progress_Perc
166.817,41.067,-1479.814,-329.348,-98.426,1.1
163.389,40.298,-1483.242,-330.117,-98.656,1.1
159.961,39.507,-1486.670,-330.908,-98.892,1.1
156.621,38.738,-1490.010,-331.677,-99.122,1.1
153.194,37.947,-1493.437,-332.468,-99.358,1.1
149.854,37.090,-1496.777,-333.325,-99.614,1.1
146.426,36.299,-1500.205,-334.116,-99.851,1.1
142.998,35.486,-1503.633,-334.929,-100.094,1.1
139.658,34.695,-1506.972,-335.720,-100.330,1.1
136.231,33.904,-1510.400,-336.511,-100.567,1.1
132.803,33.223,-1513.828,-337.192,-100.770,1.1
129.463,32.739,-1517.168,-337.676,-100.915,1.1
126.299,32.212,-1520.332,-338.203,-101.072,1.1
123.047,31.421,-1523.584,-338.994,-101.309,1.1
119.707,30.630,-1526.924,-339.785,-101.545,1.1
116.192,29.619,-1530.439,-340.796,-101.847,1.1
112.676,28.477,-1533.955,-341.938,-102.188,1.1
109.424,27.730,-1537.207,-342.685,-102.412,1.1
105.996,27.246,-1540.634,-343.169,-102.556,1.1
102.569,26.807,-1544.062,-343.608,-102.688,1.1
99.229,26.301,-1547.402,-344.114,-102.839,1.1
95.889,25.642,-1550.742,-344.773,-103.036,1.1
92.549,24.697,-1554.082,-345.718,-103.318,1.1
89.473,23.621,-1557.158,-346.794,-103.640,1.1
85.957,22.830,-1560.674,-347.585,-103.876,1.1
82.354,22.280,-1564.277,-348.135,-104.040,1.1
79.014,21.687,-1567.617,-348.728,-104.218,1.1
75.410,20.852,-1571.220,-349.563,-104.467,1.1
71.983,20.039,-1574.648,-350.376,-104.710,1.1
68.467,19.270,-1578.164,-351.145,-104.940,1.1
64.951,18.501,-1581.679,-351.914,-105.170,1.1
61.260,17.666,-1585.371,-352.749,-105.419,1.1
57.569,16.897,-1589.062,-353.518,-105.649,1.1
53.965,16.106,-1592.666,-354.309,-105.885,1.1
50.274,15.315,-1596.357,-355.100,-106.122,1.1
46.758,14.502,-1599.873,-355.913,-106.365,1.1
43.067,13.711,-1603.564,-356.704,-106.601,1.1
39.551,12.898,-1607.080,-357.517,-106.844,1.1
35.948,12.063,-1610.683,-358.352,-107.094,1.1
32.344,11.272,-1614.287,-359.143,-107.330,1.1
29.004,10.371,-1617.627,-360.044,-107.599,1.1
25.489,9.514,-1621.142,-360.901,-107.855,1.2
21.973,8.657,-1624.658,-361.758,-108.112,1.2
18.457,7.844,-1628.174,-362.571,-108.354,1.2
15.030,7.075,-1631.601,-363.340,-108.584,1.2
11.514,6.240,-1635.117,-364.175,-108.834,1.2
8.174,5.405,-1638.457,-365.010,-109.083,1.2
4.746,4.702,-1641.885,-365.713,-109.293,1.2
1.231,3.845,-1645.400,-366.570,-109.550,1.2
357.891,3.032,-1648.740,-367.383,-109.793,1.2
354.463,2.285,-1652.168,-368.130,-110.016,1.2
350.947,1.428,-1655.683,-368.987,-110.272,1.2
347.696,0.637,-1658.935,-369.778,-110.508,1.2
344.268,359.846,-1662.363,-370.569,-110.745,1.2
340.752,358.989,-1665.879,-371.426,-111.001,1.2
337.412,358.286,-1669.219,-372.129,-111.211,1.2
333.897,357.561,-1672.734,-372.854,-111.428,1.2
330.557,356.792,-1676.074,-373.623,-111.657,1.2
327.217,356.111,-1679.414,-374.304,-111.861,1.2
323.789,355.386,-1682.842,-375.029,-112.078,1.2
320.449,354.639,-1686.181,-375.776,-112.301,1.2
317.022,353.958,-1689.609,-376.457,-112.505,1.2
313.506,353.189,-1693.125,-377.226,-112.734,1.2
310.078,352.463,-1696.552,-377.952,-112.951,1.2
306.651,351.760,-1699.980,-378.655,-113.161,1.2
